"","Activity","Rango_Edad"
"1","y1","39-50"
"2","y2","39-50"
"3","y3","39-50"
"4","y4","39-50"
"5","y5","51-62"
"6","y6","51-62"
"7","y7","15-26"
"8","y8","27-38"
"9","y9","15-26"
"10","y10","27-38"
"11","y11","15-26"
"12","y12","51-62"
"13","y13","39-50"
"14","y14","15-26"
"15","y15","15-26"
"16","y16","27-38"
"17","y17","27-38"
"18","y18","27-38"
"19","y19","27-38"
"20","y20","27-38"
"21","y21","27-38"
"22","y22","27-38"
"23","y23","15-26"
"24","y24","27-38"
"25","y25","15-26"
"26","y26","27-38"
"27","y27","27-38"
"28","y28","15-26"
"29","y29","39-50"
"30","y30","15-26"
"31","y31","27-38"
"32","y32","51-62"
